#{"t_start": 1772323696.7707138, "env_id": "None"}
r,l,t,termination_reason
281.908878,54,162.772091,success
280.820738,53,162.856608,success
281.156467,54,162.945735,success
282.573691,54,163.202272,success
283.403066,54,163.290399,success
280.584488,53,163.374559,success
283.091976,54,163.460833,success
280.574695,53,163.546649,success
284.543194,54,163.647155,success
284.188587,54,163.74372,success
282.9324,54,163.840981,success
282.378873,54,163.948961,success
281.545329,53,164.037854,success
280.972777,53,164.309302,success
281.109202,53,164.417972,success
283.093967,53,164.506535,success
281.108934,53,164.593193,success
280.814584,53,164.679812,success
280.195415,53,164.767795,success
282.047979,53,164.857306,success
283.196195,54,164.945658,success
283.906013,54,165.032167,success
283.65315,54,165.296983,success
281.357207,53,165.400478,success
281.763415,53,165.540248,success
281.129956,53,165.629622,success
282.301515,53,165.715247,success
